# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
mk||Mortal Kombat (rev 5.0 T-Unit 03/19/93)|Fighter / Versus|Midway|1992|mk|mk
mk2||Mortal Kombat II (rev L3.1)|Fighter / Versus|Midway|1993|mk2|mk2
mk2chal|mk2|Mortal Kombat II Challenger (hack)|Fighter / Versus|hack|1993|mk2|mk2
mk2r14|mk2|Mortal Kombat II (rev L1.4)|Fighter / Versus|Midway|1993|mk2|mk2
mk2r21|mk2|Mortal Kombat II (rev L2.1)|Fighter / Versus|Midway|1993|mk2|mk2
mk2r42|mk2|Mortal Kombat II (rev L4.2, hack)|Fighter / Versus|hack|1993|mk2|mk2
mk2r91|mk2|Mortal Kombat II (rev L9.1, hack)|Fighter / Versus|hack|1993|mk2|mk2
mk3||Mortal Kombat 3 (rev 2.1)|Fighter / Versus|Midway|1994|mk3|mk3
mk3r10|mk3|Mortal Kombat 3 (rev 1.0)|Fighter / Versus|Midway|1994|mk3|mk3
mk3r20|mk3|Mortal Kombat 3 (rev 2.0)|Fighter / Versus|Midway|1994|mk3|mk3
mk4||Mortal Kombat 4 (version 3.0)|Fighter / Versus|Midway|1997|mk4|mk4
mkeibaou||Mahjong Keibaou (Japan)|Tabletop / Mahjong|Nichibutsu|1993|mkeibaou|mkeibaou
mkla1|mk|Mortal Kombat (rev 1.0 08/09/92)|Fighter / Versus|Midway|1992|mk|mk
mkla2|mk|Mortal Kombat (rev 2.0 08/18/92)|Fighter / Versus|Midway|1992|mk|mk
mkla3|mk|Mortal Kombat (rev 3.0 08/31/92)|Fighter / Versus|Midway|1992|mk|mk
mkla4|mk|Mortal Kombat (rev 4.0 09/28/92)|Fighter / Versus|Midway|1992|mk|mk
mkoiuraa|mjkoiura|Mahjong Koi Uranai (Japan set 2)|Tabletop / Mahjong|Nichibutsu|1992|mjkoiura|mjkoiura
mkprot9|mk|Mortal Kombat (prototype, rev 9.0 07/28/92)|Fighter / Versus|Midway|1992|mk|mk
mkr4|mk|Mortal Kombat (rev 4.0 T-Unit 02/11/93)|Fighter / Versus|Midway|1992|mk|mk
mkyawdim|mk|Mortal Kombat (Yawdim bootleg, set 1)|Fighter / Versus|bootleg (Yawdim)|1992|mk|mk
mladyhtr||Mahjong The Lady Hunter (Japan 900509)|Tabletop / Mahjong|Nichibutsu|1990|mladyhtr|mladyhtr
mmaiko||Maikobana [BET] (Japan 900911)|Tabletop / Hanafuda|Nichibutsu|1990||mmaiko
mmatrix||Mars Matrix: Hyper Solid Shooting (USA 000412)|Shooter / Flying Vertical|Takumi (Capcom license)|2000|mmatrix|mmatrix
mmatrixj|mmatrix|Mars Matrix: Hyper Solid Shooting (Japan 000412)|Shooter / Flying Vertical|Takumi (Capcom license)|2000|mmatrix|mmatrix
mmaulers||Monster Maulers (ver EAA)|Fighter / Versus Co-op|Konami|1993|mmaulers|mmaulers
mmaze||Marchen Maze (Japan)|Maze / Shooter Large|Namco|1988|mmaze|mmaze
mmcamera|mjcamerb|Mahjong Camera Kozou [BET] (Japan 890509)|Tabletop / Mahjong|Miki Syouji|1989||mjcamerb
mmehyou||Medal Mahjong Circuit no Mehyou [BET] (Japan)|Tabletop / Mahjong|Nichibutsu / Kawakusu|1992|mmehyou|mmehyou
mmonkey||Minky Monkey|Puzzle|Technos Japan / Roller Tron|1982|mmonkey|mmonkey
mmpanic||Monkey Mole Panic (USA)|Misc.|Nakanihon / East Technology (Taito license)|1992|mmpanic|mmpanic
mmsikaku|mjsikaku|Mahjong Shikaku [BET] (Japan 880929)|Tabletop / Mahjong|Nichibutsu|1988|mjsikaku|mjsikaku
mnchmobl|joyfulr|Munch Mobile (US)|Driving|SNK (Centuri license)|1983|joyfulr|joyfulr
mnight||Mutant Night|Platform / Shooter Scrolling|UPL (Kawakus license)|1987|mnight|mnight
moegonta|ladykill|Moeyo Gonta!! (Japan)|Misc.|Yanyaka|1993|ladykill|ladykill
mofflott||Maze of Flott (Japan)|Maze / Driving|Taito Corporation|1989|mofflott|mofflott
moguchan||Moguchan|Maze|Orca (Eastern Commerce Inc. license) (bootleg?)|1982|moguchan|moguchan
mogura||Mogura Desse (Japan)|Misc.|Konami|1991|mogura|mogura
mole||Mole Attack|Misc.|Yachiyo Electronics, Ltd.|1982|mole|mole
momoko||Momoko 120%|Platform / Run Jump|Jaleco|1986|momoko|momoko
monkeyd|ckong|Monkey Donkey|Platform / Run Jump|bootleg|1981|ckong|ckong
monsterb||Monster Bash|Platform / Shooter|Sega|1982|monsterb|monsterb
montecar||Monte Carlo|Driving / Race|Atari|1979|montecar|montecar
monymony||Money Money|Maze|Zaccaria|1983|monymony|monymony
monzagp||Monza GP|Unplayable|Olympia|1981||
moonal2|galaxian|Moon Alien Part 2|Shooter / Gallery|Nichibutsu|1980|moonal2|moonal2
moonal2b|galaxian|Moon Alien Part 2 (older version)|Shooter / Gallery|Nichibutsu|1980|galaxian|galaxian
moonaln|galaxian|Moon Alien|Shooter / Gallery|Nichibutsu (Karateco license)|1979|galaxian|galaxian
moonbase|invadpt2|Moon Base (set 1)|Shooter / Gallery|Nichibutsu (Taito license?)|1979|invadpt2|invadpt2
mooncrgx|mooncrst|Moon Cresta (Galaxian hardware)|Shooter / Gallery|bootleg|1980|mooncrst|mooncrst
mooncrs2|mooncrst|Moon Cresta (bootleg set 2)|Shooter / Gallery|bootleg|1980|mooncrst|mooncrst
mooncrs3|mooncrst|Moon Cresta (bootleg set 3)||bootleg (Jeutel)|1980|mooncrst|mooncrst
mooncrsb|mooncrst|Moon Cresta (bootleg set 1)|Shooter / Gallery|bootleg|1980|mooncrst|mooncrst
mooncrst||Moon Cresta (Nichibutsu)|Shooter / Gallery|Nichibutsu|1980|mooncrst|mooncrst
moonlght|goldstar|Moon Light (bootleg of Golden Star)||bootleg|1969||
moonqsr||Moon Quasar|Shooter / Gallery|Nichibutsu|1980|moonqsr|moonqsr
moonwar||Moonwar|Shooter / Flying|Stern Electronics|1981|moonwar|moonwar
moonwara|moonwar|Moonwar (older)|Shooter / Flying|Stern Electronics|1981|moonwar|moonwar
moremore||More More|Mini-Games|SemiCom / Exit|1999||
moremorp||More More Plus|Mini-Games|SemiCom / Exit|1999|moremorp|moremorp
mosaic||Mosaic|Puzzle / Drop|Space|1990|mosaic|mosaic
mosaica|mosaic|Mosaic (Fuuki)|Puzzle / Drop|Space (Fuuki license)|1990|mosaic|mosaic
mosaicf2||Mosaic (F2 System)||F2 System|1999||
mosyougi||Syougi No Tatsujin - Master of Syougi|Tabletop / Shougi|ADK / SNK|1995|mosyougi|mosyougi
motofren||Moto Frenzy|Driving / Race (chase view) Bike|Atari Games|1992|motofren|motofren
motorace|travrusa|MotoRace USA|Driving / Race Bike|Irem (Williams license)|1983|travrusa|travrusa
motos||Motos|Puzzle|Namco|1985|motos|motos
mouja||Mouja (Japan)|Puzzle / Drop|Etona|1996|mouja|mouja
mouser||Mouser|Maze|UPL|1983|mouser|mouser
mouserc|mouser|Mouser (Cosmos)|Maze|UPL (Cosmos license)|1983|mouser|mouser
mp_bio||Bio-hazard Battle (Mega Play)|Shooter / Flying Horizontal|Sega|1993||
mp_col3||Columns III (Mega Play)||Sega|1993||
mp_gaxe2||Golden Axe II (Mega Play)|Fighter / 2.5D|Sega|1993|mp_gaxe2|mp_gaxe2
mp_gslam||Grand Slam (Mega Play)|Unplayable|Sega|1993||
mp_mazin||Mazin Wars / Mazin Saga (Mega Play)|Unplayable|Sega|1993||
mp_soni2||Sonic The Hedgehog 2 (Mega Play)||Sega|1993||
mp_sonic||Sonic The Hedgehog (Mega Play)|Platform / Run Jump Scrolling|Sega|1993|mp_sonic|mp_sonic
mp_sor2||Streets of Rage II (Mega Play)|Fighter / 2.5D|Sega|1993||
mp_twc||Tecmo World Cup (Mega Play)|Sports / Soccer|Sega|1993|mp_twc|mp_twc
mpangj|mpang|Mighty! Pang (Japan 001011)|Shooter / Gallery|Mitchell (Capcom license)|2000|mpangj|mpangj
mpatrol||Moon Patrol|Shooter / Driving Horizontal|Irem|1982|mpatrol|mpatrol
mpatrolw|mpatrol|Moon Patrol (Williams)|Shooter / Driving Horizontal|Irem (Williams license)|1982|mpatrol|mpatrol
mplanets||Mad Planets|Shooter / Field|Gottlieb|1983|mplanets|mplanets
mquake||Moonquake|Unplayable|Sente|1987||
mrdo||Mr. Do!|Maze / Digging|Universal|1982|mrdo|mrdo
mrdofix|mrdo|Mr. Do! (bugfixed)|Maze / Digging|Universal (Taito license)|1982|mrdo|mrdo
mrdot|mrdo|Mr. Do! (Taito)|Maze / Digging|Universal (Taito license)|1982|mrdo|mrdo
mrdoy|mrdo|Mr. Do! (prototype)|Maze / Digging|Universal|1982|mrdo|mrdo
mrdrillr||Mr. Driller (Japan, DRI1/VER.A2)|Puzzle|Namco|1999|mrdrillr|mrdrillr
mrdrilr2||Mr. Driller 2 (Japan, DR21 Ver.A)|Puzzle|Namco|2000|mrdrilr2|mrdrilr2
mrdrilrg||Mr. Driller G (Japan, DRG1 Ver.A)||Namco|2001||
mrdu|mrdo|Mr. Du!|Maze / Digging|bootleg|1982|mrdo|mrdo
mrflea||The Amazing Adventures of Mr. F. Lea|Platform / Run Jump|Pacific Novelty|1982|mrflea|mrflea
mrgoemon||Mr. Goemon (Japan)|Platform / Fighter Scrolling|Konami|1986|mrgoemon|mrgoemon
mrheli|bchopper|Mr. HELI no Daibouken|Shooter / Flying|Irem|1987|bchopper|bchopper
mrjong||Mr. Jong (Japan)|Puzzle / Maze|Kiwako|1983|mrjong|mrjong
mrkougar||Mr. Kougar|Platform / Run Jump|ATW|1984|mrkougar|mrkougar
mrkougb|mrkougar|Mr. Kougar (bootleg set 1)|Platform / Run Jump|bootleg|1983|mrkougar|mrkougar
mrkougb2|mrkougar|Mr. Kougar (bootleg set 2)||bootleg|1983|mrkougar|mrkougar
mrlo|mrdo|Mr. Lo!|Maze / Digging|bootleg|1982|mrdo|mrdo
mrokumei||Mahjong Rokumeikan (Japan)|Tabletop / Mahjong|Home Data|1988|mrokumei|mrokumei
mrtnt||Mr. TNT|Maze|Techstar (Telko license)|1983|mrtnt|mrtnt
mrviking||Mister Viking (315-5041)|Shooter / Walking|Sega|1984|mrviking|mrviking
ms4plus|mslug4|Metal Slug 4 Plus (bootleg)|Platform / Shooter Scrolling|bootleg|2002||
ms5pcb||Metal Slug 5 (JAMMA PCB)||SNK Playmore|2003||
ms5plus|mslug5|Metal Slug 5 Plus (bootleg)||bootleg|2003||
msbingo||Miss Bingo|Puzzle / Sliding|Min Corp.|1994||msbingo
mschamp|mspacman|Ms. Pacman Champion Edition / Zola-Puc Gal|Maze|hack|1992|mspacman|mspacman
mscoutm||Mahjong Scout Man (Japan)|Tabletop / Mahjong|Sphinx / AV Japan|1994|mscoutm|mscoutm
msgundam||Mobile Suit Gundam|Fighter / Versus|Banpresto|1993|msgundam|msgundam
msh||Marvel Super Heroes (Euro 951024)|Fighter / Versus|Capcom|1995|msh|msh
msha|msh|Marvel Super Heroes (Asia 951024)|Fighter / Versus|Capcom|1995|msh|msh
mshb|msh|Marvel Super Heroes (Brazil 951117)|Fighter / Versus|Capcom|1995|msh|msh
mshh|msh|Marvel Super Heroes (Hispanic 951117)|Fighter / Versus|Capcom|1995|msh|msh
mshj|msh|Marvel Super Heroes (Japan 951117)|Fighter / Versus|Capcom|1995|msh|msh
mshjr1|msh|Marvel Super Heroes (Japan 951024)|Fighter / Versus|Capcom|1995|msh|msh
mshu|msh|Marvel Super Heroes (USA 951024)|Fighter / Versus|Capcom|1995|msh|msh
mshuttle||Moon Shuttle (US? set 1)|Shooter / Gallery|Nichibutsu|1981|mshuttle|mshuttle
mshvsf||Marvel Super Heroes Vs. Street Fighter (Euro 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfa|mshvsf|Marvel Super Heroes Vs. Street Fighter (Asia 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfa1|mshvsf|Marvel Super Heroes Vs. Street Fighter (Asia 970620)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfb|mshvsf|Marvel Super Heroes Vs. Street Fighter (Brazil 970827)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfb1|mshvsf|Marvel Super Heroes Vs. Street Fighter (Brazil 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfh|mshvsf|Marvel Super Heroes Vs. Street Fighter (Hispanic 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfj|mshvsf|Marvel Super Heroes Vs. Street Fighter (Japan 970707)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfj1|mshvsf|Marvel Super Heroes Vs. Street Fighter (Japan 970702)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfj2|mshvsf|Marvel Super Heroes Vs. Street Fighter (Japan 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
mshvsfu|mshvsf|Marvel Super Heroes Vs. Street Fighter (USA 970827)||Capcom|1997|mshvsf|mshvsf
mshvsfu1|mshvsf|Marvel Super Heroes Vs. Street Fighter (USA 970625)|Fighter / Versus|Capcom|1997|mshvsf|mshvsf
msisaac||Metal Soldier Isaac II|Shooter / Misc. Vertical|Taito Corporation|1985|msisaac|msisaac
msjiken||Mahjong Satsujin Jiken (Japan 881017)|Tabletop / Mahjong|Nichibutsu|1988|msjiken|msjiken
mslider||Monster Slider (Japan)|Puzzle / Drop|Visco / Datt Japan|1997|mslider|mslider
mslug||Metal Slug - Super Vehicle-001|Platform / Shooter Scrolling|Nazca|1996|mslug|mslug
mslug2||Metal Slug 2 - Super Vehicle-001/II (NGM-2410)(NGH-2410)|Platform / Shooter Scrolling|SNK|1998|mslug2|mslug2
mslug3||Metal Slug 3 (NGM-2560)|Platform / Shooter Scrolling|SNK|2000|mslug3|mslug3
mslug3b6|mslug3|Metal Slug 6 (Metal Slug 3 bootleg)||bootleg|2000|mslug3|mslug3
mslug4||Metal Slug 4 (NGM-2630)|Platform / Shooter Scrolling|Mega / Playmore|2002||
mslug5||Metal Slug 5 (NGM-2680)||SNK Playmore|2003||
mslugx||Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500)|Platform / Shooter Scrolling|SNK|1999|mslugx|mslugx
mspacmab|mspacman|Ms. Pac-Man (bootleg)|Maze|bootleg|1981|mspacman|mspacman
mspacman||Ms. Pac-Man|Maze|Midway / General Computer Corporation|1981|mspacman|mspacman
mspacmat|mspacman|Ms. Pac Attack|Maze|hack|1981|mspacman|mspacman
mspacmbe|mspacman|Ms. Pac-Man (bootleg, encrypted)||bootleg|1981|mspacman|mspacman
mspacmnf|mspacman|Ms. Pac-Man (with speedup hack)|Maze|Midway / General Computer Corporation|1981|mspacman|mspacman
mspacpls|mspacman|Ms. Pac-Man Plus|Maze|hack|1981|mspacman|mspacman
mspuzzle||Miss Puzzle|Puzzle / Sliding|Min Corp.|1994|mspuzzle|mspuzzle
mstadium|bottom9|Main Stadium (Japan)|Sports / Baseball|Konami|1989|bottom9|bottom9
mstworld||Monsters World (bootleg of Super Pang)||bootleg (TCH)|1994||
msword||Magic Sword: Heroic Fantasy (World 900725)|Platform / Fighter Scrolling|Capcom|1990|msword|msword
mswordj|msword|Magic Sword: Heroic Fantasy (Japan 900623)|Platform / Fighter Scrolling|Capcom|1990|msword|msword
mswordr1|msword|Magic Sword: Heroic Fantasy (World 900623)|Platform / Fighter Scrolling|Capcom|1990|msword|msword
mswordu|msword|Magic Sword: Heroic Fantasy (USA 900725)|Platform / Fighter Scrolling|Capcom|1990|msword|msword
mt_aftrb||After Burner (Mega-Tech, SMS based)|Shooter / Flying (chase view)|Sega|1987|mt_aftrb|mt_aftrb
mt_arrow||Arrow Flash (Mega-Tech)|Unplayable|Sega|1990||
mt_astrm||Alien Storm (Mega-Tech)|Platform / Shooter Scrolling|Sega|1990||
mt_astro||Astro Warrior (Mega-Tech, SMS based)|Shooter / Flying Vertical|Sega|1986|mt_astro|mt_astro
mt_asyn||Alien Syndrome (Mega-Tech, SMS based)|Maze / Shooter Large|Sega|1987||
mt_bbros||Bonanza Bros. (Mega-Tech)|Platform / Run Jump Scrolling|Sega|1991|mt_bbros|mt_bbros
mt_beast||Altered Beast (Mega-Tech)|Platform / Fighter Scrolling|Sega|1988|mt_beast|mt_beast
mt_cols||Columns (Mega-Tech)|Unplayable|Sega|1990|mt_cols|mt_cols
mt_crack||Crack Down (Mega-Tech)|Unplayable|Sega|1990|mt_crack|mt_crack
mt_eswat||Cyber Police ESWAT: Enhanced Special Weapons and Tactics (Mega-Tech)|Platform / Shooter Scrolling|Sega|1990|mt_eswat|mt_eswat
mt_fshrk||Fire Shark (Mega-Tech)|Shooter / Flying Vertical|Toaplan / Sega|1990|mt_fshrk|mt_fshrk
mt_gaxe||Golden Axe (Mega-Tech)|Fighter / 2.5D|Sega|1989|mt_gaxe|mt_gaxe
mt_gaxe2||Golden Axe II (Mega-Tech)|Fighter / 2.5D|Sega|1991|mt_gaxe2|mt_gaxe2
mt_ggolf||Great Golf (Mega-Tech, SMS based)|Sports / Golf|Sega|1987|mt_ggolf|mt_ggolf
mt_gng||Ghouls'n Ghosts (Mega-Tech)|Platform / Fighter Scrolling|Capcom / Sega|1989|mt_gng|mt_gng
mt_gsocr||Great Soccer (Mega-Tech, SMS based)|Sports / Soccer|Sega|1969|mt_gsocr|mt_gsocr
mt_kcham||Kid Chameleon (Mega-Tech)|Platform / Fighter Scrolling|Sega|1992|mt_kcham|mt_kcham
mt_lastb||Last Battle (Mega-Tech)|Fighter / 2D|Sega|1989|mt_lastb|mt_lastb
mt_mwalk||Michael Jackson's Moonwalker (Mega-Tech)|Platform / Fighter Scrolling|Sega|1990|mt_mwalk|mt_mwalk
mt_mystd||Mystic Defender (Mega-Tech)|Platform / Fighter Scrolling|Sega|1989|mt_mystd|mt_mystd
mt_parlg||Parlour Games (Mega-Tech, SMS based)|Multiplay|Sega|1987|mt_parlg|mt_parlg
mt_revsh||The Revenge of Shinobi (Mega-Tech)|Platform / Fighter Scrolling|Sega|1989|mt_revsh|mt_revsh
mt_shang||Super Hang-On (Mega-Tech)|Driving / Race (chase view) Bike|Sega|1989||
mt_shar2||Space Harrier II (Mega-Tech)|Shooter / Flying (chase view)|Sega|1988|mt_shar2|mt_shar2
mt_shnbi||Shinobi (Mega-Tech, SMS based)|Platform / Fighter Scrolling|Sega|1987|mt_shnbi|mt_shnbi
mt_smgp||Super Monaco GP (Mega-Tech)|Driving / Race 1st Person|Sega|1990|mt_smgp|mt_smgp
mt_soni2||Sonic The Hedgehog 2 (Mega-Tech)|Unplayable|Sega|1992|mt_soni2|mt_soni2
mt_sonia|mt_sonic|Sonic The Hedgehog (Mega-Tech, set 2)|Platform / Run Jump Scrolling|Sega|1991|mt_sonic|mt_sonic
mt_sonic||Sonic The Hedgehog (Mega-Tech, set 1)|Platform / Run Jump Scrolling|Sega|1991|mt_sonic|mt_sonic
mt_stbld||Super Thunder Blade (Mega-Tech)|Shooter / Flying (chase view)|Sega|1988|mt_stbld|mt_stbld
mt_stf||Joe Montana II: Sports Talk Football (Mega-Tech)|Unplayable|Sega|1991|mt_stf|mt_stf
mt_tetri||Tetris (Mega-Tech)|Puzzle / Drop|Sega|1989|mt_tetri|mt_tetri
mt_tfor2||Thunder Force II MD (Mega-Tech)|Shooter / Flying Horizontal|Tecno Soft / Sega|1989|mt_tfor2|mt_tfor2
mt_tgolf||Arnold Palmer Tournament Golf (Mega-Tech)|Sports / Golf|Sega|1989|mt_tgolf|mt_tgolf
mt_tlbba||Tommy Lasorda Baseball (Mega-Tech)|Sports / Baseball|Sega|1989|mt_tlbba|mt_tlbba
mt_wcsoc||World Championship Soccer (Mega-Tech)|Sports / Soccer|Sega|1989|mt_wcsoc|mt_wcsoc
mtetrisc||Magical Tetris Challenge (981009 Japan)|Unplayable|Capcom|1998||
mtlchamp||Martial Champion (ver EAB)|Fighter / Versus|Konami|1993|mtlchamp|mtlchamp
mtrap||Mouse Trap (version 5)|Maze|Exidy|1981|mtrap|mtrap
mtrap3|mtrap|Mouse Trap (version 3)|Maze|Exidy|1981|mtrap|mtrap
mtrap4|mtrap|Mouse Trap (version 4)|Maze|Exidy|1981|mtrap|mtrap
mtwins||Mega Twins (World 900619)|Platform / Fighter Scrolling|Capcom|1990|mtwins|mtwins
mugsmash||Mug Smashers|Fighter / 2.5D|Electronic Devices Italy / 3D Games England|1969|mugsmash|mugsmash
multchmp||Multi Champ (World, ver. 2.5)|Mini-Games|ESD|1999|multchmp|multchmp
murogem||Muroge Monaco (set 1)|||1969||
musobana||Musoubana (Japan)|Tabletop / Hanafuda|Nichibutsu / Yubis|1995||musobana
mustache||Mustache Boy|Maze|Seibu Kaihatsu (March license)|1987|mustache|mustache
mustang||US AAF Mustang (25th May. 1990)|Shooter / Flying Horizontal|UPL|1990|mustang|mustang
mustangb|mustang|US AAF Mustang (bootleg)|Shooter / Flying Horizontal|bootleg|1990|mustang|mustang
mustangs|mustang|US AAF Mustang (25th May. 1990 / Seoul Trading)|Shooter / Flying Horizontal|UPL (Seoul Trading license)|1990|mustang|mustang
mutantf||Mutant Fighter (World ver EM-5)|Fighter / Versus|Data East Corporation|1992|mutantf|mutantf
mutnat||Mutation Nation (NGM-014)(NGH-014)|Fighter / 2.5D|SNK|1992|mutnat|mutnat
mv4in1|ltcasino|Mini Vegas 4in1||Entertainment Enterprises, Ltd.|1983|ltcasino|ltcasino
mvp||MVP (set 2, US, FD1094 317-0143)|Sports / Baseball|Sega|1989|mvp|mvp
mvpj|mvp|MVP (set 1, Japan, FD1094 317-0142)|Sports / Baseball|Sega|1989|mvp|mvp
mvsc||Marvel Vs. Capcom: Clash of Super Heroes (Euro 980123)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvsca|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Asia 980123)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvscar1|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Asia 980112)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvscb|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Brazil 980123)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvsch|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Hispanic 980123)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvscj|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvscjr1|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (Japan 980112)|Fighter / Versus|Capcom|1998|mvsc|mvsc
mvscu|mvsc|Marvel Vs. Capcom: Clash of Super Heroes (USA 980123)||Capcom|1998|mvsc|mvsc
mwalk||Michael Jackson's Moonwalker (World, FD1094/8751 317-0159)|Maze / Fighter|Sega|1990||
mwalkbl|mwalk|Michael Jackson's Moonwalker (bootleg)|Maze / Fighter|bootleg|1990||
mwalkj|mwalk|Michael Jackson's Moonwalker (Japan, FD1094/8751 317-0157)|Maze / Fighter|Sega|1990||
mwalku|mwalk|Michael Jackson's Moonwalker (US, FD1094/8751 317-0158)|Maze / Fighter|Sega|1990||
mwarr||Mighty Warriors|Fighter / Versus|Elettronica Video-Games S.R.L.|1969||
mx5000||MX5000|Shooter / Flying Vertical|Konami|1987|mx5000|mx5000
myangel||Kosodate Quiz My Angel (Japan)|Quiz / Japanese|Namco|1996|myangel|myangel
myangel2||Kosodate Quiz My Angel 2 (Japan)|Quiz / Japanese|Namco|1997|myangel2|myangel2
myangel3||Kosodate Quiz My Angel 3 (Japan, KQT1/VER.A)|Quiz / Japanese|Namco|1998|myangel3|myangel3
myfairld||Virtual Mahjong 2 - My Fair Lady (J 980608 V1.000)|Unplayable|Micronet|1998|myfairld|myfairld
myhero||My Hero (US, not encrypted)|Fighter / 2D|Coreland / Sega|1985|myhero|myhero
myherok|myhero|My Hero (Korea)|Fighter / 2D|Coreland / Sega|1985|myhero|myhero
myqbert|qbert|Mello Yello Q*bert|Platform / Run Jump|Gottlieb|1982|qbert|qbert
mysticm||Mystic Marathon|Sports / Track & Field|Williams|1983|mysticm|mysticm
mysticri||Mystic Riders (World)|Shooter / Flying Horizontal|Irem|1992|mysticri|mysticri
mystston||Mysterious Stones - Dr. John's Adventure|Maze / Shooter Large|Technos Japan|1984|mystston|mystston
mystwarr||Mystic Warriors (ver EAA)|Fighter / 2D|Konami|1993|mystwarr|mystwarr
nagano98||Nagano Winter Olympics '98 (GX720 EAA)|Sports / Track & Field|Konami|1998||
nam1975||NAM-1975 (NGM-001)(NGH-001)|Shooter / 3rd Person|SNK|1990|nam1975|nam1975
nametune||Name That Tune (set 1)|Quiz / Music English|Bally/Sente|1986|nametune|nametune
naname||Naname de Magic! (Japan)|Puzzle / Drop|Atlus|1994|naname|naname
narc||Narc (rev 7.00)|Platform / Shooter Scrolling|Williams|1988|narc|narc
narc3|narc|Narc (rev 3.20)|Platform / Shooter Scrolling|Williams|1988|narc|narc
nastar||Nastar (World)|Platform / Fighter Scrolling|Taito Corporation Japan|1988|nastar|nastar
nastarw|nastar|Nastar Warrior (US)|Platform / Fighter Scrolling|Taito America Corporation|1988|nastar|nastar
natodef||NATO Defense|Maze / Shooter Small|Pacific Novelty|1982|natodef|natodef
natodefa|natodef|NATO Defense (alternate mazes)|Maze / Shooter Small|Pacific Novelty|1982|natodef|natodef
natsuiro|mjnatsu|Natsuiro Mahjong (Japan)|Tabletop / Mahjong|Video System Co.|1989|mjnatsu|mjnatsu
naughtyb||Naughty Boy|Maze / Shooter Large|Jaleco|1982|naughtyb|naughtyb
navarone||Navarone|Shooter / Gallery|Namco|1980|navarone|navarone
nbahangt||NBA Hangtime (rev L1.1 04/16/96)|Sports / Basketball|Midway|1996|nbahangt|nbahangt
nbajam||NBA Jam (rev 3.01 04/07/93)|Sports / Basketball|Midway|1993|nbajam|nbajam
nbajamex||NBA Jam Extreme|Sports / Basketball|Acclaim|1996|nbajamex|nbajamex
nbajamr2|nbajam|NBA Jam (rev 2.00 02/10/93)|Sports / Basketball|Midway|1993|nbajam|nbajam
nbajamte||NBA Jam TE (rev 4.0 03/23/94)|Sports / Basketball|Midway|1994||
nbamht|nbahangt|NBA Maximum Hangtime (rev 1.03 06/09/97)|Sports / Basketball|Midway|1996|nbahangt|nbahangt
